code,mode,source_id,source_kind,source_path_or_url,source_local_path,output_path_or_url,object_fit,crop_spec,crop_variant,approval_status,render_status,approved_by,approved_at,source_hash,output_hash,reason
1SBP00405,SCENE_CROP,scene:pl,SCENE,https://pics.dmm.co.jp/digital/video/1sbp00405/1sbp00405pl.jpg,data/thumbnail-scene-crop-sources/1SBP00405-scene-pl-8536b3e4c7218569.jpg,/card-thumbnails/1SBP00405-scene-portrait-v4.jpg,cover,"{""unit"":""pixel"",""x"":0,""y"":0,""width"":315,""height"":450}",STANDARD,HUMAN_APPROVED,READY,USER_HANDOFF,2026-07-28,8536b3e4c721856939c387bb68cc6cfd2e0a2bc900727878c3a0e569665fb5b6,12cde16548e37e9f957885c1fce5f4951ba4128e9aa4ad4826d0053a8f170087,User-approved scene portrait normal; existing source crop and output preserved without regeneration
1SBP00406,SCENE_CROP,scene:pl,SCENE,https://pics.dmm.co.jp/digital/video/1sbp00406/1sbp00406pl.jpg,data/thumbnail-scene-crop-sources/1SBP00406-scene-pl-8aca740e264d10c8.jpg,/card-thumbnails/1SBP00406-scene-portrait-v4.jpg,cover,"{""unit"":""pixel"",""x"":115,""y"":0,""width"":315,""height"":450}",STANDARD,HUMAN_APPROVED,READY,USER_HANDOFF,2026-07-28,8aca740e264d10c8ca523bf7cc29674acb4c427b9a7490f7ec357ecf7b416ab1,df1a807e44426514f81992ebe856c5bac7c7e84c47dfe7f313aae28f087ee93c,User-approved scene portrait normal; existing source crop and output preserved without regeneration
1SBP00407,SCENE_CROP,scene:pl,SCENE,https://pics.dmm.co.jp/digital/video/1sbp00407/1sbp00407pl.jpg,data/thumbnail-scene-crop-sources/1SBP00407-scene-pl-3fd1f21c5cd06190.jpg,/card-thumbnails/1SBP00407-scene-portrait-v4.jpg,cover,"{""unit"":""pixel"",""x"":0,""y"":0,""width"":315,""height"":450}",STANDARD,HUMAN_APPROVED,READY,USER_HANDOFF,2026-07-29,3fd1f21c5cd0619068d92b364c0fc0ba6f1fb2dfe3e00f7cd0410f9379590408,eac227184ce5e6a9a93200ae07ac599d935d8d0c07522143920679510f3a9263,User-approved scene portrait normal; existing source crop and output preserved without regeneration
1SBP00408,SCENE_CROP,scene:pl,SCENE,https://pics.dmm.co.jp/digital/video/1sbp00408/1sbp00408pl.jpg,data/thumbnail-scene-crop-sources/1SBP00408-scene-pl-44519d19a3d26c0a.jpg,/card-thumbnails/1SBP00408-scene-portrait-v4.jpg,cover,"{""unit"":""pixel"",""x"":0,""y"":0,""width"":315,""height"":450}",STANDARD,HUMAN_APPROVED,READY,USER_HANDOFF,2026-07-29,44519d19a3d26c0a565eea5721487d30238856b971efbb538a84cd97a76b03af,5ca8edc027172ba19ae168091a56ba592597bbc096f3dfb4338ed3deb8f89d18,User-approved scene portrait normal; existing source crop and output preserved without regeneration
1SBP00409,SCENE_CROP,scene:pl,SCENE,https://pics.dmm.co.jp/digital/video/1sbp00409/1sbp00409pl.jpg,data/thumbnail-scene-crop-sources/1SBP00409-scene-pl-e9cecb426401bd94.jpg,/card-thumbnails/1SBP00409-scene-portrait-v4.jpg,cover,"{""unit"":""pixel"",""x"":90,""y"":0,""width"":315,""height"":450}",STANDARD,HUMAN_APPROVED,READY,USER_HANDOFF,2026-07-29,e9cecb426401bd94a67dca826e7b0b2c916dc2459d3ef958e787f0fd894af66b,0486a44fe2eccff423a85736707a164c855e1a52e286aee3c76f494298a1b8bf,User-approved scene portrait normal; existing source crop and output preserved without regeneration
1SBP00410,SCENE_CROP,scene:pl,SCENE,https://pics.dmm.co.jp/digital/video/1sbp00410/1sbp00410pl.jpg,data/thumbnail-scene-crop-sources/1SBP00410-scene-pl-c28c40f70c9b7b51.jpg,/card-thumbnails/1SBP00410-scene-portrait-v4.jpg,cover,"{""unit"":""pixel"",""x"":30,""y"":0,""width"":315,""height"":450}",STANDARD,HUMAN_APPROVED,READY,USER_HANDOFF,2026-07-29,c28c40f70c9b7b51451b05add273d51fad0e4967e6719bbbbd25b1f6013286e6,91489bb490539d03e9037bb08f0072167ab605b95a4bc4aa64ddfd8512504af0,User-approved scene portrait normal; existing source crop and output preserved without regeneration
1SBP00411,SCENE_CROP,scene:pl,SCENE,https://pics.dmm.co.jp/digital/video/1sbp00411/1sbp00411pl.jpg,data/thumbnail-scene-crop-sources/1SBP00411-scene-pl-ee073f69d63476cc.jpg,/card-thumbnails/1SBP00411-scene-portrait-v4.jpg,cover,"{""unit"":""pixel"",""x"":80,""y"":0,""width"":315,""height"":450}",STANDARD,HUMAN_APPROVED,READY,USER_HANDOFF,2026-07-29,ee073f69d63476cc59062669ce99999f29525aaf87a3a5de9b44c7a6b9fc2fc4,33455810cb756565d06878838dde108f93fdb2b234b7263d2158c23a893ec78a,User-approved scene portrait normal; existing source crop and output preserved without regeneration
1SBP00412,SCENE_CROP,scene:pl,SCENE,https://pics.dmm.co.jp/digital/video/1sbp00412/1sbp00412pl.jpg,data/thumbnail-scene-crop-sources/1SBP00412-scene-pl-e8c7a142b5a97b05.jpg,/card-thumbnails/1SBP00412-scene-portrait-v4.jpg,cover,"{""unit"":""pixel"",""x"":90,""y"":0,""width"":315,""height"":450}",STANDARD,HUMAN_APPROVED,READY,USER_HANDOFF,2026-07-29,e8c7a142b5a97b05764f6749a3bf6120cfe7fcce87c414d73a2cd13e823d6f55,829682a561182cc43819d015b20b4636ec2725f7f4bcae9e00a4dfbb7a489e96,User-approved scene portrait normal; existing source crop and output preserved without regeneration
1SBP00413,SCENE_CROP,scene:pl,SCENE,https://pics.dmm.co.jp/digital/video/1sbp00413/1sbp00413pl.jpg,data/thumbnail-scene-crop-sources/1SBP00413-scene-pl-d573d5bd01267396.jpg,/card-thumbnails/1SBP00413-scene-portrait-v4.jpg,cover,"{""unit"":""pixel"",""x"":80,""y"":0,""width"":315,""height"":450}",STANDARD,HUMAN_APPROVED,READY,USER_HANDOFF,2026-07-29,d573d5bd01267396e880e86f5dd141d3b2969ac25de2d090df721cf94b035301,1defbfaecd91bde8850e982786b07fc288268d8b24ba36f98853cf88a562006f,User-approved scene portrait normal; existing source crop and output preserved without regeneration
1SBP00414,SCENE_CROP,scene:pl,SCENE,https://pics.dmm.co.jp/digital/video/1sbp00414/1sbp00414pl.jpg,data/thumbnail-scene-crop-sources/1SBP00414-scene-pl-4bb7e13d8a8b8e1b.jpg,/card-thumbnails/1SBP00414-scene-portrait-v4.jpg,cover,"{""unit"":""pixel"",""x"":75,""y"":0,""width"":315,""height"":450}",STANDARD,HUMAN_APPROVED,READY,USER_HANDOFF,2026-07-29,4bb7e13d8a8b8e1b946d2662b405101ac1796c28c3d3ee8f7891a8c88833659d,879c3a5cbb797e88a0c5c72d5580eaf0408d33ba4b5598c98728bbe447aa19d6,User-approved scene portrait normal; existing source crop and output preserved without regeneration
1SBP00415,SCENE_CROP,scene:pl,SCENE,https://pics.dmm.co.jp/digital/video/1sbp00415/1sbp00415pl.jpg,data/thumbnail-scene-crop-sources/1SBP00415-scene-pl-c5f13a96af811d15.jpg,/card-thumbnails/1SBP00415-scene-portrait-v4.jpg,cover,"{""unit"":""pixel"",""x"":110,""y"":0,""width"":315,""height"":450}",STANDARD,HUMAN_APPROVED,READY,USER_HANDOFF,2026-07-29,c5f13a96af811d15216cfffabdd8c59693d7fc1338c38d9a23ea5d5f0c9bb345,2b7f150f210b56ae7ff84b7e973e518b7aae7fae62383d9ecb8110bf1da3a077,User-approved scene portrait normal; existing source crop and output preserved without regeneration
1SBP00416,SCENE_CROP,scene:pl,SCENE,https://pics.dmm.co.jp/digital/video/1sbp00416/1sbp00416pl.jpg,data/thumbnail-scene-crop-sources/1SBP00416-scene-pl-043752fc67576a8a.jpg,/card-thumbnails/1SBP00416-scene-portrait-v4.jpg,cover,"{""unit"":""pixel"",""x"":40,""y"":0,""width"":315,""height"":450}",STANDARD,HUMAN_APPROVED,READY,USER_HANDOFF,2026-07-29,043752fc67576a8a3ad6299eb71e16eaa07c8ed8d8ad474eb9b20c929ea39326,6a3598824bb0474b673e49360fec5af8aa17ab5c3cb01cb2a468d322c65bec71,User-approved scene portrait normal; existing source crop and output preserved without regeneration
1SBP00417,SCENE_CROP,scene:pl,SCENE,https://pics.dmm.co.jp/digital/video/1sbp00417/1sbp00417pl.jpg,data/thumbnail-scene-crop-sources/1SBP00417-scene-pl-6f8069ea8bd94445.jpg,/card-thumbnails/1SBP00417-scene-portrait-v4.jpg,cover,"{""unit"":""pixel"",""x"":70,""y"":0,""width"":315,""height"":450}",STANDARD,HUMAN_APPROVED,READY,USER_HANDOFF,2026-07-29,6f8069ea8bd94445eb0b2262bad1d6c9cf5a50bce553cfe3a3e5addda9f0bd65,f4fd1c5056a81e46d413afb12420bb65e8ae8ff49b128ee811a12a1b2aec5b27,User-approved scene portrait normal; existing source crop and output preserved without regeneration
1SBP00418,SCENE_CROP,scene:pl,SCENE,https://pics.dmm.co.jp/digital/video/1sbp00418/1sbp00418pl.jpg,data/thumbnail-scene-crop-sources/1SBP00418-scene-pl-fe49ca77d016d17b.jpg,/card-thumbnails/1SBP00418-scene-portrait-v4.jpg,cover,"{""unit"":""pixel"",""x"":70,""y"":0,""width"":315,""height"":450}",STANDARD,HUMAN_APPROVED,READY,USER_HANDOFF,2026-07-29,fe49ca77d016d17b7b14839a92fdecc90fa932af3148a677b073210b1d191345,8eb82525484bdbfc5bdbf29b88533608ddbe44a6028836d880fe4dde1aeb35ee,User-approved scene portrait normal; existing source crop and output preserved without regeneration
1SBP00420,SCENE_CROP,scene:pl,SCENE,https://pics.dmm.co.jp/digital/video/1sbp00420/1sbp00420pl.jpg,data/thumbnail-scene-crop-sources/1SBP00420-scene-pl-59f0ce6e7b898f91.jpg,/card-thumbnails/1SBP00420-scene-portrait-v4.jpg,cover,"{""unit"":""pixel"",""x"":240,""y"":0,""width"":315,""height"":450}",STANDARD,HUMAN_APPROVED,READY,USER_HANDOFF,2026-07-29,59f0ce6e7b898f91ce1cc0c016658495675d39ad2c35a374cacd31f3a4cb2324,6e7e22e8766dc493677243a5a46f3a4959db9f197d98ff01ec8a31d1764417cc,User-approved scene portrait normal; existing source crop and output preserved without regeneration
1SBP00422,SCENE_CROP,scene:pl,SCENE,https://pics.dmm.co.jp/digital/video/1sbp00422/1sbp00422pl.jpg,data/thumbnail-scene-crop-sources/1SBP00422-scene-pl-0816c60d9899bbd1.jpg,/card-thumbnails/1SBP00422-scene-portrait-v4.jpg,cover,"{""unit"":""pixel"",""x"":260,""y"":0,""width"":315,""height"":450}",STANDARD,HUMAN_APPROVED,READY,USER_HANDOFF,2026-07-29,0816c60d9899bbd1e9ebf88a4209978849afdede7dadd4aedeb0cf36f97bcc96,c4e96fd3b5d882f4dd42e7d6988f3c5888c20ec5e794fc94f6378e327099b31a,User-approved scene portrait normal; existing source crop and output preserved without regeneration
1SBP00424,SCENE_CROP,scene:pl,SCENE,https://pics.dmm.co.jp/digital/video/1sbp00424/1sbp00424pl.jpg,data/thumbnail-scene-crop-sources/1SBP00424-scene-pl-644bf16443157666.jpg,/card-thumbnails/1SBP00424-scene-portrait-v4.jpg,cover,"{""unit"":""pixel"",""x"":0,""y"":0,""width"":385,""height"":550,""rotation_degrees"":90}",ROTATE_CLOCKWISE_B,HUMAN_APPROVED,READY,USER_HANDOFF,2026-07-28,644bf16443157666f9a8433e318eac87248339cc56150b51875cde7dfecf3540,160f809f1fee99f77fd9716050a12946289ec0534ee7f28727f88b3a0fa62984,User-approved scene portrait clockwise-rotation-candidate-b; existing source crop and output preserved without regeneration
1SBP00425,SCENE_CROP,scene:pl,SCENE,https://pics.dmm.co.jp/digital/video/1sbp00425/1sbp00425pl.jpg,data/thumbnail-scene-crop-sources/1SBP00425-scene-pl-c6dd75efe8b30074.jpg,/card-thumbnails/1SBP00425-scene-portrait-v4.jpg,cover,"{""unit"":""pixel"",""x"":400,""y"":0,""width"":315,""height"":450}",STANDARD,HUMAN_APPROVED,READY,USER_HANDOFF,2026-07-29,c6dd75efe8b30074e79ad40921f291613a6d225d863e42ae42d7cf94be1b4cd9,943683fd5ade41daa78db7c57d7c22ef8fe285255a9f31669a6402a5089e0383,User-approved scene portrait normal; existing source crop and output preserved without regeneration
H_283PMFT00435,SCENE_CROP,scene:pl,SCENE,https://pics.dmm.co.jp/digital/video/h_283pmft00435/h_283pmft00435pl.jpg,data/thumbnail-scene-crop-sources/H_283PMFT00435-scene-pl-4eb12bd1ec3671e8.jpg,/card-thumbnails/H_283PMFT00435-scene-portrait-v4.jpg,cover,"{""unit"":""pixel"",""x"":310,""y"":0,""width"":315,""height"":450}",STANDARD,HUMAN_APPROVED,READY,USER_HANDOFF,2026-07-29,4eb12bd1ec3671e861ce3f6349645081936224e978d52cae0773e479ab499a04,f6c49433d01527ec3cbe11b9e0c6b7697e1550a6180626f1f2016e48719bb892,User-approved scene portrait normal; existing source crop and output preserved without regeneration
